source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
T/NK cells,B/Plasma cells,TGFB1,TGFbR1_R2,1.4913257929489746e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
B/Plasma cells,Endothelial cells,TGFB1,TGFbR1_R2,4.765808844128623e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Endothelial cells,TGFB1,TGFbR1_R2,9.574443185838898e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnEpi cells,Endothelial cells,TGFB1,TGFbR1_R2,2.941166070335953e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnS cells,Endothelial cells,TGFB1,TGFbR1_R2,7.360886905122143e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Epithelial cells,Endothelial cells,TGFB1,TGFbR1_R2,6.238006380139324e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Erythrocytes,Endothelial cells,TGFB1,TGFbR1_R2,4.418505993369178e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mast cells,Endothelial cells,TGFB1,TGFbR1_R2,1.8690993856069433e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Endothelial cells,TGFB1,TGFbR1_R2,7.941965680299695e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Myeloid cells,Endothelial cells,TGFB1,TGFbR1_R2,6.615657121171465e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Endothelial cells,TGFB1,TGFbR1_R2,5.645123129940288e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Endothelial cells,TGFB1,TGFbR1_R2,0.0010497546531436502,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,EnS cells,TGFB1,TGFbR1_R2,1.6483176491338683e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,EnS cells,TGFB1,TGFbR1_R2,1.8075110712012586e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Epithelial cells,TGFB1,TGFbR1_R2,1.616193868744444e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Epithelial cells,TGFB1,TGFbR1_R2,1.7722716358025897e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Mesenchymal cells,TGFB1,TGFbR1_R2,1.701901723993106e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Mesenchymal cells,TGFB1,TGFbR1_R2,1.411838765728244e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Mesenchymal cells,TGFB1,TGFbR1_R2,1.8662629946702335e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Myeloid cells,TGFB1,TGFbR1_R2,1.787173766725215e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Myeloid cells,TGFB1,TGFbR1_R2,1.4825833000181506e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Myeloid cells,TGFB1,TGFbR1_R2,1.959783781953053e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Smooth muscle cells,TGFB1,TGFbR1_R2,1.7850858289807483e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Smooth muscle cells,TGFB1,TGFbR1_R2,1.4808524164518526e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Smooth muscle cells,TGFB1,TGFbR1_R2,1.957497007725062e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,T/NK cells,TGFB1,TGFbR1_R2,1.7138626649837305e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,T/NK cells,TGFB1,TGFbR1_R2,1.4217677977357296e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,T/NK cells,TGFB1,TGFbR1_R2,1.8793946487807275e-4,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,B/Plasma cells,TGFB2,TGFbR1_R2,2.156179799772974e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
B/Plasma cells,Endothelial cells,TGFB2,TGFbR1_R2,6.870925901333133e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Endothelial cells,TGFB2,TGFbR1_R2,1.415005615894516e-4,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnEpi cells,Endothelial cells,TGFB2,TGFbR1_R2,4.5555302374186e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnS cells,Endothelial cells,TGFB2,TGFbR1_R2,1.0671281285918074e-4,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Epithelial cells,Endothelial cells,TGFB2,TGFbR1_R2,9.096753428700483e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Erythrocytes,Endothelial cells,TGFB2,TGFbR1_R2,6.382384223344977e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mast cells,Endothelial cells,TGFB2,TGFbR1_R2,2.7427157811650883e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Endothelial cells,TGFB2,TGFbR1_R2,1.1474904512909493e-4,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Myeloid cells,Endothelial cells,TGFB2,TGFbR1_R2,9.659677652676388e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Endothelial cells,TGFB2,TGFbR1_R2,8.59211662475373e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Endothelial cells,TGFB2,TGFbR1_R2,1.5190582777764214e-4,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,EnS cells,TGFB2,TGFbR1_R2,2.434420155617349e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,EnS cells,TGFB2,TGFbR1_R2,2.6134865489338252e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Epithelial cells,TGFB2,TGFbR1_R2,2.3870542878185775e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Epithelial cells,TGFB2,TGFbR1_R2,2.562634187119659e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Mesenchymal cells,TGFB2,TGFbR1_R2,2.5136022495571684e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Mesenchymal cells,TGFB2,TGFbR1_R2,2.0384102586089607e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Mesenchymal cells,TGFB2,TGFbR1_R2,2.6984916163789206e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Myeloid cells,TGFB2,TGFbR1_R2,2.6394630377786864e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Myeloid cells,TGFB2,TGFbR1_R2,2.1404782452302393e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Myeloid cells,TGFB2,TGFbR1_R2,2.833612688984752e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Smooth muscle cells,TGFB2,TGFbR1_R2,2.6363626275711224e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Smooth muscle cells,TGFB2,TGFbR1_R2,2.1379641590385413e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Smooth muscle cells,TGFB2,TGFbR1_R2,2.8302847480097944e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,T/NK cells,TGFB2,TGFbR1_R2,2.5311753024265246e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,T/NK cells,TGFB2,TGFbR1_R2,2.0526622516993852e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,T/NK cells,TGFB2,TGFbR1_R2,2.7173601613768804e-5,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,B/Plasma cells,TGFB3,TGFbR1_R2,8.884655889277337e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
B/Plasma cells,Endothelial cells,TGFB3,TGFbR1_R2,6.642758304312037e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Endothelial cells,TGFB3,TGFbR1_R2,6.256822260013376e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnEpi cells,Endothelial cells,TGFB3,TGFbR1_R2,4.675398985598707e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
EnS cells,Endothelial cells,TGFB3,TGFbR1_R2,9.368878790623833e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Epithelial cells,Endothelial cells,TGFB3,TGFbR1_R2,8.43752165238887e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Erythrocytes,Endothelial cells,TGFB3,TGFbR1_R2,4.4288971286260236e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mast cells,Endothelial cells,TGFB3,TGFbR1_R2,4.054249805839216e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Mesenchymal cells,Endothelial cells,TGFB3,TGFbR1_R2,9.048267642380646e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Myeloid cells,Endothelial cells,TGFB3,TGFbR1_R2,9.390032660282214e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Endothelial cells,TGFB3,TGFbR1_R2,1.2902792527913332e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
T/NK cells,Endothelial cells,TGFB3,TGFbR1_R2,8.617837929996824e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,EnEpi cells,TGFB3,TGFbR1_R2,5.316154841980512e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,EnS cells,TGFB3,TGFbR1_R2,1.0768699516586882e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,EnS cells,TGFB3,TGFbR1_R2,2.219824309407647e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Epithelial cells,TGFB3,TGFbR1_R2,1.0558970752813731e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Epithelial cells,TGFB3,TGFbR1_R2,2.176634385781402e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Erythrocytes,TGFB3,TGFbR1_R2,5.7615955093999965e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Mast cells,TGFB3,TGFbR1_R2,5.48785680333378e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Mesenchymal cells,TGFB3,TGFbR1_R2,1.111884969244844e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Mesenchymal cells,TGFB3,TGFbR1_R2,2.2920267827080003e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Myeloid cells,TGFB3,TGFbR1_R2,1.1675803103495215e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Myeloid cells,TGFB3,TGFbR1_R2,2.4067922413972205e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,Smooth muscle cells,TGFB3,TGFbR1_R2,1.1662132234991059e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,Smooth muscle cells,TGFB3,TGFbR1_R2,2.4039650041443458e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial cells,T/NK cells,TGFB3,TGFbR1_R2,1.1196826358580522e-4,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Smooth muscle cells,T/NK cells,TGFB3,TGFbR1_R2,2.3080500391568556e-5,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
B/Plasma cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,9.212501503246003e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,1.8514513110541055e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
EnEpi cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,5.6843340012309816e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
EnS cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,1.4233735445281064e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Epithelial cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,1.2062581533137074e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Erythrocytes,Endothelial cells,TGFB1,ACVR1B_TGFbR2,8.541199204869409e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Mast cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,3.612023866647998e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Mesenchymal cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,1.535907350376475e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Myeloid cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,1.2790367063770166e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Smooth muscle cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,1.0912819860577288e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
T/NK cells,Endothelial cells,TGFB1,ACVR1B_TGFbR2,2.0302727413043742e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial cells,EnS cells,TGFB1,ACVR1B_TGFbR2,4.8148880377320775e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
EnS cells,EnS cells,TGFB1,ACVR1B_TGFbR2,3.701614376651007e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Mesenchymal cells,EnS cells,TGFB1,ACVR1B_TGFbR2,3.994340389922558e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Myeloid cells,EnS cells,TGFB1,ACVR1B_TGFbR2,3.326156062903691e-5,0.01,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
T/NK cells,EnS cells,TGFB1,ACVR1B_TGFbR2,5.280064110462162e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial cells,Epithelial cells,TGFB1,ACVR1B_TGFbR2,6.34033541227961e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
EnS cells,Epithelial cells,TGFB1,ACVR1B_TGFbR2,4.8743607902334656e-05,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Epithelial cells,Epithelial cells,TGFB1,ACVR1B_TGFbR2,4.1308526269798056e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Mesenchymal cells,Epithelial cells,TGFB1,ACVR1B_TGFbR2,5.259801629769794e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Myeloid cells,Epithelial cells,TGFB1,ACVR1B_TGFbR2,4.379985938953144e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Smooth muscle cells,Epithelial cells,TGFB1,ACVR1B_TGFbR2,3.7369848823889155e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
T/NK cells,Epithelial cells,TGFB1,ACVR1B_TGFbR2,6.952838450369893e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial cells,Mesenchymal cells,TGFB1,ACVR1B_TGFbR2,4.199355415121832e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Mesenchymal cells,Mesenchymal cells,TGFB1,ACVR1B_TGFbR2,3.483707990388307e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
T/NK cells,Mesenchymal cells,TGFB1,ACVR1B_TGFbR2,4.6050680091993776e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial cells,Myeloid cells,TGFB1,ACVR1B_TGFbR2,4.902394090221565e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
EnS cells,Myeloid cells,TGFB1,ACVR1B_TGFbR2,3.768886846995266e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Mesenchymal cells,Myeloid cells,TGFB1,ACVR1B_TGFbR2,4.0669373954431494e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Myeloid cells,Myeloid cells,TGFB1,ACVR1B_TGFbR2,3.386598795152201e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
T/NK cells,Myeloid cells,TGFB1,ACVR1B_TGFbR2,5.37603281534956e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial cells,Smooth muscle cells,TGFB1,ACVR1B_TGFbR2,5.7491066601779094e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
EnS cells,Smooth muscle cells,TGFB1,ACVR1B_TGFbR2,4.4198276521931634e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Epithelial cells,Smooth muscle cells,TGFB1,ACVR1B_TGFbR2,3.745653775966856e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Mesenchymal cells,Smooth muscle cells,TGFB1,ACVR1B_TGFbR2,4.769351047271933e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Myeloid cells,Smooth muscle cells,TGFB1,ACVR1B_TGFbR2,3.971519431377697e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Smooth muscle cells,Smooth muscle cells,TGFB1,ACVR1B_TGFbR2,3.3884660672406976e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
T/NK cells,Smooth muscle cells,TGFB1,ACVR1B_TGFbR2,6.30454063572598e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial cells,T/NK cells,TGFB1,ACVR1B_TGFbR2,3.550159540057437e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
T/NK cells,T/NK cells,TGFB1,ACVR1B_TGFbR2,3.893165111365956e-5,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
