Gene
CD44
SOX9
HIF1A
TFF3
MUC5B
SPDEF
PAX2
PAX8
KRT19
KRT18
KRT10
KRT8
KRT7
EPCAM
PTGS1
LGR5
FGF9
WNT7A
FGFR2
GDA
FOXJ1
PIFO
TPPP3
MSLN
PDPN
CALB2
DES
WT1
ACTA2
THY1
MMP7
TIMP1
PGR
ESR1
IHH
GNG11
CREB3L1
ENPP3
SPP1
DPP4
PAEP
SERPINA5
MME
ESR1
PGR
IGF1
MMP11
CRABP2
ECM1
PAEP
FOXO1
IL15
DCN
PDGFRA
THY1
COL1A1
PCOLCE
C7
OGN
CFD
ITGB1
FAP
ACTA2
ACTG2
MCAM
GAS5
PTPRC
