p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.5607453773885156,0.884,0.314,0,0,NKG7
0,1.2644827388854398,0.732,0.162,0,0,KLRD1
0,1.141063230758673,0.885,0.457,0,0,CCL5
0,1.0478809225169579,0.477,0.138,0,0,XCL2
0,1.047861950355971,0.601,0.137,0,0,GZMB
0,0.9880789463817045,0.683,0.274,0,0,CD7
0,0.8977375815496065,0.381,0.113,0,0,XCL1
0,0.8878818161288053,0.548,0.138,0,0,PRF1
0,0.8107293890455884,0.721,0.323,0,0,CST7
0,0.7766714082200312,0.694,0.317,0,0,GZMA
0,0.7490134065671448,0.377,0.116,0,0,GZMH
0,0.697608219339453,0.628,0.22,0,0,CTSW
0,0.6522024003237918,0.603,0.302,0,0,KLRB1
0,0.6451806055802192,0.988,0.878,0,0,HLA-B
0,0.6444380592989447,0.756,0.443,0,0,HCST
0,0.6428160231192761,0.933,0.813,0,0,HLA-C
0,0.6347245110954614,0.976,0.88,0,0,HLA-A
0,0.6306910126596034,0.389,0.178,0,0,AREG
0,0.6115405514722818,0.31,0.062,0,0,CLIC3
0,0.6026459032737574,0.326,0.146,0,0,LDLRAD4
0,0.5964802785806744,0.347,0.081,0,0,TRDC
0,0.5941681092206746,0.568,0.328,0,0,FAM177A1
0,0.5901911866771602,0.496,0.186,0,0,CD247
0,0.5741152426792313,1,0.995,0,0,B2M
0,0.5674016391017569,0.323,0.084,0,0,KLRC1
0,0.5631386983612616,0.461,0.16,0,0,HOPX
0,0.5605460403151787,0.52,0.232,0,0,SYTL3
0,0.5588134386736767,0.37,0.166,0,0,CMC1
0,0.5541631017957094,0.646,0.403,0,0,IFITM2
0,0.5324356133933579,0.929,0.699,0,0,SRGN
0,0.5247058295387683,0.349,0.174,0,0,METRNL
0,0.5223861296332877,0.499,0.278,0,0,CEMIP2
0,0.5223653692363879,1,0.995,0,0,TMSB4X
0,0.5208523532848868,0.751,0.182,0,0,GNLY
0,0.48922672665838807,0.478,0.207,0,0,GZMM
0,0.48032349308408123,0.411,0.161,0,0,APOBEC3G
0,0.4690163725262835,0.493,0.201,0,0,TYROBP
0,0.45510547857184847,0.833,0.577,0,0,PTPRC
0,0.4542711622224268,0.586,0.422,0,0,LDHA
0,0.453713262804439,0.531,0.343,0,0,PIK3R1
0,0.4467464073883689,0.807,0.651,0,0,HLA-E
0,0.44483370499748,0.533,0.347,0,0,CRIP1
0,0.4376713578189037,0.364,0.117,0,0,MATK
0,0.434318618798208,0.37,0.118,0,0,IL2RB
0,0.42658190381094685,0.562,0.352,0,0,CORO1A
0,0.41976402830800974,0.539,0.302,0,0,RUNX3
0,0.4169448168272154,0.484,0.263,0,0,ADGRE5
0,0.41394467144869623,0.255,0.087,0,0,TNFRSF18
0,0.40451354739420287,0.67,0.491,0,0,ARPC2
0,0.39963343960939374,0.409,0.207,0,0,GNG2
0,0.3977754106659899,0.291,0.123,0,0,LINC01871
0,0.3962814672771756,0.53,0.339,0,0,CLEC2B
0,0.395042909227047,0.395,0.23,0,0,TGFB1
